,date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),First dep NB or WB,First dep SB or EB,Last dep NB or WB,Last dep SB or EB,Route,Interruption,time period start,time period end
5,2023-01-19,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-19 22:00:00,2023-01-20 04:00:00
6,2023-01-20,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-20 04:00:00,2023-01-20 09:00:00
6,2023-01-20,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-20 09:00:00,2023-01-20 15:00:00
6,2023-01-20,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-20 15:00:00,2023-01-20 19:00:00
6,2023-01-20,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-20 19:00:00,2023-01-20 22:00:00
6,2023-01-20,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-20 22:00:00,2023-01-21 04:00:00
7,2023-01-21,12,10:00,106,14,18.4,0,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-21 04:00:00,2023-01-21 08:00:00
7,2023-01-21,16,09:30,138,14,14.2,1,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-21 08:00:00,2023-01-21 12:00:00
7,2023-01-21,20,08:30,156,14,12.5,2,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-21 12:00:00,2023-01-21 19:00:00
7,2023-01-21,15,10:00,134,16,14.6,3,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-21 19:00:00,2023-01-21 22:00:00
7,2023-01-21,14,10:00,130,10,15.0,4,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-21 22:00:00,2023-01-22 04:00:00
8,2023-01-22,11,10:00,102,8,19.2,0,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-22 04:00:00,2023-01-22 08:00:00
8,2023-01-22,14,10:00,130,10,15.0,1,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-22 08:00:00,2023-01-22 12:00:00
8,2023-01-22,18,09:00,148,14,13.2,2,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-22 12:00:00,2023-01-22 19:00:00
8,2023-01-22,14,09:30,122,11,16.0,3,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-22 19:00:00,2023-01-22 22:00:00
8,2023-01-22,13,09:30,114,9,17.1,4,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-22 22:00:00,2023-01-23 04:00:00
9,2023-01-23,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-23 04:00:00,2023-01-23 09:00:00
9,2023-01-23,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-23 09:00:00,2023-01-23 15:00:00
9,2023-01-23,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-23 15:00:00,2023-01-23 19:00:00
9,2023-01-23,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-23 19:00:00,2023-01-23 22:00:00
9,2023-01-23,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-23 22:00:00,2023-01-24 04:00:00
