date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,bunch,total delay,gap
2025-05-04,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-05-04 22:00:00,2025-05-05 04:00:00,W,28,754.4666666666667,25
2025-05-11,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-05-11 22:00:00,2025-05-12 04:00:00,E,125,2044.15,63
2025-05-11,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-05-11 22:00:00,2025-05-12 04:00:00,W,59,1166.25,28
2025-05-18,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-05-18 22:00:00,2025-05-19 04:00:00,E,149,2861.25,63
2025-05-18,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-05-18 22:00:00,2025-05-19 04:00:00,W,15,622.9166666666666,32
2025-05-25,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-05-25 22:00:00,2025-05-26 04:00:00,E,167,3214.7,61
2025-05-25,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-05-25 22:00:00,2025-05-26 04:00:00,W,42,918.1333333333333,20
2025-06-01,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-06-01 22:00:00,2025-06-02 04:00:00,E,123,4744.25,205
2025-06-01,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-06-01 22:00:00,2025-06-02 04:00:00,W,28,888.75,38
2025-06-08,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-06-08 22:00:00,2025-06-09 04:00:00,E,61,5086.966666666666,158
2025-06-08,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-06-08 22:00:00,2025-06-09 04:00:00,W,25,670.6666666666666,35
2025-06-15,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-06-15 22:00:00,2025-06-16 04:00:00,E,127,2192.85,166
2025-06-15,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-06-15 22:00:00,2025-06-16 04:00:00,W,8,271.9,38
2025-06-22,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-06-22 22:00:00,2025-06-23 04:00:00,E,123,15911.116666666667,212
2025-06-22,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-06-22 22:00:00,2025-06-23 04:00:00,W,29,3163.6,71
2025-06-29,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-06-29 22:00:00,2025-06-30 04:00:00,E,54,2083.1,105
2025-06-29,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-06-29 22:00:00,2025-06-30 04:00:00,W,23,494.85,41
2025-07-06,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-07-06 22:00:00,2025-07-07 04:00:00,E,169,2824.0333333333333,94
2025-07-06,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-07-06 22:00:00,2025-07-07 04:00:00,W,24,524.8833333333333,21
2025-07-13,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-07-13 22:00:00,2025-07-14 04:00:00,E,104,3033.3166666666666,132
2025-07-13,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-07-13 22:00:00,2025-07-14 04:00:00,W,5,561.9166666666666,22
2025-07-20,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-07-20 22:00:00,2025-07-21 04:00:00,E,50,2612.633333333333,128
2025-07-20,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-07-20 22:00:00,2025-07-21 04:00:00,W,24,1380.7333333333333,51
2025-07-27,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-07-27 22:00:00,2025-07-28 04:00:00,E,170,5635.333333333333,133
2025-07-27,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-07-27 22:00:00,2025-07-28 04:00:00,W,40,1173.4166666666667,45
2025-08-03,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-08-03 22:00:00,2025-08-04 04:00:00,E,222,4822.083333333333,210
2025-08-03,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-08-03 22:00:00,2025-08-04 04:00:00,W,44,994.8666666666667,38
