date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,bunch,total delay,gap
2025-01-28,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-28 09:00:00,2025-01-28 15:00:00,W,394,393.0,13
2025-01-29,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-29 09:00:00,2025-01-29 15:00:00,E,1299,1755.0,13
2025-01-29,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-29 09:00:00,2025-01-29 15:00:00,W,393,279.0,13
2025-01-30,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-30 09:00:00,2025-01-30 15:00:00,E,1354,3004.0,13
2025-01-30,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-30 09:00:00,2025-01-30 15:00:00,W,374,365.0,13
2025-01-31,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-31 09:00:00,2025-01-31 15:00:00,E,1418,3383.0,13
2025-01-31,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-31 09:00:00,2025-01-31 15:00:00,W,389,252.0,13
2025-02-03,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-03 09:00:00,2025-02-03 15:00:00,E,1299,2335.0,13
2025-02-03,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-03 09:00:00,2025-02-03 15:00:00,W,387,195.0,13
2025-02-04,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-04 09:00:00,2025-02-04 15:00:00,E,1337,2481.0,13
2025-02-04,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-04 09:00:00,2025-02-04 15:00:00,W,415,409.0,13
2025-02-05,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-05 09:00:00,2025-02-05 15:00:00,E,1299,2124.0,13
2025-02-05,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-05 09:00:00,2025-02-05 15:00:00,W,369,422.0,13
2025-02-06,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-06 09:00:00,2025-02-06 15:00:00,E,1336,832.0,13
2025-02-06,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-06 09:00:00,2025-02-06 15:00:00,W,366,104.0,13
2025-02-07,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-07 09:00:00,2025-02-07 15:00:00,E,1300,3926.0,13
2025-02-07,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-07 09:00:00,2025-02-07 15:00:00,W,404,451.0,13
2025-02-10,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-10 09:00:00,2025-02-10 15:00:00,E,1299,4351.0,13
2025-02-10,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-10 09:00:00,2025-02-10 15:00:00,W,366,532.0,13
2025-02-11,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-11 09:00:00,2025-02-11 15:00:00,E,1299,1242.0,13
2025-02-11,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-11 09:00:00,2025-02-11 15:00:00,W,366,257.0,13
2025-02-12,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-12 09:00:00,2025-02-12 15:00:00,E,1299,1444.0,13
2025-02-12,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-12 09:00:00,2025-02-12 15:00:00,W,405,459.0,13
2025-02-13,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-13 09:00:00,2025-02-13 15:00:00,E,1383,3858.0,13
2025-02-13,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-13 09:00:00,2025-02-13 15:00:00,W,572,132.0,13
2025-02-14,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-14 09:00:00,2025-02-14 15:00:00,E,1309,826.0,13
2025-02-14,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-14 09:00:00,2025-02-14 15:00:00,W,437,128.0,13
2025-02-17,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-17 09:00:00,2025-02-17 15:00:00,E,1336,1827.0,13
2025-02-17,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-17 09:00:00,2025-02-17 15:00:00,W,434,761.0,13
2025-02-18,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-18 09:00:00,2025-02-18 15:00:00,E,1582,2869.0,13
2025-02-18,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-18 09:00:00,2025-02-18 15:00:00,W,444,290.0,13
2025-02-19,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-19 09:00:00,2025-02-19 15:00:00,E,1332,1031.0,13
2025-02-19,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-19 09:00:00,2025-02-19 15:00:00,W,400,79.0,13
2025-02-20,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-20 09:00:00,2025-02-20 15:00:00,E,1310,2595.0,13
2025-02-20,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-20 09:00:00,2025-02-20 15:00:00,W,380,74.0,13
2025-02-21,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-21 09:00:00,2025-02-21 15:00:00,E,1379,1816.0,13
2025-02-21,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-21 09:00:00,2025-02-21 15:00:00,W,447,547.0,13
2025-02-24,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-24 09:00:00,2025-02-24 15:00:00,E,1303,997.0,13
2025-02-24,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-24 09:00:00,2025-02-24 15:00:00,W,458,396.0,13
2025-02-25,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-25 09:00:00,2025-02-25 15:00:00,E,1303,510.0,13
2025-02-25,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-25 09:00:00,2025-02-25 15:00:00,W,389,114.0,13
2025-02-26,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-26 09:00:00,2025-02-26 15:00:00,E,1376,21.0,13
2025-02-26,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-26 09:00:00,2025-02-26 15:00:00,W,386,48.0,13
2025-02-27,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-27 09:00:00,2025-02-27 15:00:00,E,1309,610.0,13
2025-02-27,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-27 09:00:00,2025-02-27 15:00:00,W,383,137.0,13
2025-02-28,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-28 09:00:00,2025-02-28 15:00:00,E,1379,3026.0,13
2025-02-28,17,10:00,161,9,11.2,1,0,30.13,0,2025-02-28 09:00:00,2025-02-28 15:00:00,W,376,306.0,13
2025-03-03,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-03 09:00:00,2025-03-03 15:00:00,E,1299,5006.0,13
2025-03-03,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-03 09:00:00,2025-03-03 15:00:00,W,383,603.0,13
2025-03-04,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-04 09:00:00,2025-03-04 15:00:00,E,1339,1785.0,13
2025-03-04,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-04 09:00:00,2025-03-04 15:00:00,W,382,361.0,13
2025-03-05,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-05 09:00:00,2025-03-05 15:00:00,E,1300,3396.0,13
2025-03-05,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-05 09:00:00,2025-03-05 15:00:00,W,391,1036.0,13
2025-03-06,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-06 09:00:00,2025-03-06 15:00:00,E,1299,3849.0,13
2025-03-06,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-06 09:00:00,2025-03-06 15:00:00,W,366,588.0,13
2025-03-07,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-07 09:00:00,2025-03-07 15:00:00,E,1413,6006.0,13
2025-03-07,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-07 09:00:00,2025-03-07 15:00:00,W,437,736.0,13
2025-03-10,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-10 09:00:00,2025-03-10 15:00:00,E,1299,5824.0,13
2025-03-10,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-10 09:00:00,2025-03-10 15:00:00,W,375,740.0,13
2025-03-11,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-11 09:00:00,2025-03-11 15:00:00,E,1323,4440.0,13
2025-03-11,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-11 09:00:00,2025-03-11 15:00:00,W,375,702.0,13
2025-03-12,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-12 09:00:00,2025-03-12 15:00:00,E,1510,5565.0,13
2025-03-12,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-12 09:00:00,2025-03-12 15:00:00,W,416,703.0,13
2025-03-13,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-13 09:00:00,2025-03-13 15:00:00,E,1555,5896.0,13
2025-03-13,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-13 09:00:00,2025-03-13 15:00:00,W,382,921.0,13
2025-03-14,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-14 09:00:00,2025-03-14 15:00:00,E,1375,5765.0,13
2025-03-14,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-14 09:00:00,2025-03-14 15:00:00,W,407,813.0,13
2025-03-17,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-17 09:00:00,2025-03-17 15:00:00,E,1299,5816.0,13
2025-03-17,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-17 09:00:00,2025-03-17 15:00:00,W,379,1117.0,13
2025-03-18,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-18 09:00:00,2025-03-18 15:00:00,E,1299,3401.0,13
2025-03-18,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-18 09:00:00,2025-03-18 15:00:00,W,376,508.0,13
2025-03-19,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-19 09:00:00,2025-03-19 15:00:00,E,1336,2926.0,13
2025-03-19,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-19 09:00:00,2025-03-19 15:00:00,W,404,426.0,13
2025-03-20,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-20 09:00:00,2025-03-20 15:00:00,E,1336,2454.0,13
2025-03-20,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-20 09:00:00,2025-03-20 15:00:00,W,375,396.0,13
2025-03-21,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-21 09:00:00,2025-03-21 15:00:00,E,1299,6011.0,13
2025-03-21,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-21 09:00:00,2025-03-21 15:00:00,W,366,593.0,13
2025-03-24,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-24 09:00:00,2025-03-24 15:00:00,E,1299,7669.0,13
2025-03-24,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-24 09:00:00,2025-03-24 15:00:00,W,366,1337.0,13
2025-03-25,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-25 09:00:00,2025-03-25 15:00:00,E,1342,4304.0,13
2025-03-25,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-25 09:00:00,2025-03-25 15:00:00,W,374,581.0,13
2025-03-26,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-26 09:00:00,2025-03-26 15:00:00,E,1299,3198.0,13
2025-03-26,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-26 09:00:00,2025-03-26 15:00:00,W,377,749.0,13
2025-03-27,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-27 09:00:00,2025-03-27 15:00:00,E,1375,4744.0,13
2025-03-27,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-27 09:00:00,2025-03-27 15:00:00,W,379,588.0,13
2025-03-28,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-28 09:00:00,2025-03-28 15:00:00,E,1336,4637.0,13
2025-03-28,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-28 09:00:00,2025-03-28 15:00:00,W,366,670.0,13
2025-03-31,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-31 09:00:00,2025-03-31 15:00:00,E,1382,5597.0,13
2025-03-31,17,10:00,161,9,11.2,1,0,30.13,0,2025-03-31 09:00:00,2025-03-31 15:00:00,W,400,1333.0,13
2025-04-01,17,10:00,161,9,11.2,1,0,30.13,0,2025-04-01 09:00:00,2025-04-01 15:00:00,E,1481,3757.0,13
2025-04-01,17,10:00,161,9,11.2,1,0,30.13,0,2025-04-01 09:00:00,2025-04-01 15:00:00,W,404,480.0,13
2025-04-02,17,10:00,161,9,11.2,1,0,30.13,0,2025-04-02 09:00:00,2025-04-02 15:00:00,E,1330,3008.0,13
2025-04-02,17,10:00,161,9,11.2,1,0,30.13,0,2025-04-02 09:00:00,2025-04-02 15:00:00,W,376,513.0,13
2025-04-03,17,10:00,161,9,11.2,1,0,30.13,0,2025-04-03 09:00:00,2025-04-03 15:00:00,E,1603,2388.0,13
2025-04-03,17,10:00,161,9,11.2,1,0,30.13,0,2025-04-03 09:00:00,2025-04-03 15:00:00,W,418,832.0,13
2025-04-04,17,10:00,161,9,11.2,1,0,30.13,0,2025-04-04 09:00:00,2025-04-04 15:00:00,E,1360,2241.0,13
2025-04-04,17,10:00,161,9,11.2,1,0,30.13,0,2025-04-04 09:00:00,2025-04-04 15:00:00,W,381,215.0,13
