date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,total delay
datetime64[ns],int64,object,int64,int64,float64,int64,int64,float64,int64,datetime64[ns],datetime64[ns],object,object,int64,int64,float64
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,St Matthews Rd,0,0,-68.5
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Jarvis St,0,0,-64.35
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Sherbourne St,0,0,-64.35
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,St George St,1,1,-75.11666666666667
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Dovercourt Rd,1,1,-114.53333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Glenmount Park Rd,2,1,-92.83333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Prust Ave,1,1,-76.03333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Main Street Station at Bay 7,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Norwood Rd,2,1,-96.83333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,McCaul St,1,1,-78.86666666666666
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Broadview Ave,0,0,-65.71666666666667
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Ontario St,0,0,-58.9
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Rusholme Park Cres,0,0,-35.1
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Havelock St,1,1,-75.73333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,High Park Loop,1,0,31.416666666666668
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Queens Park (Queen's Park Station),1,1,-76.05
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Roncesvalles Ave,0,0,-36.03333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,De Grassi St,0,1,-59.583333333333336
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Parliament St at Carlton St,0,0,-63.2
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Parkside Dr East Side,0,0,23.733333333333334
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Dundas St West,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Howard Park Ave at Roncesvalles Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Parliament St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Parliament St at Gerrard St East,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Sumach St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Blackburn St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Logan Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Augusta Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Beverley St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,University Ave (Queen's Park Station,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Elizabeth St,0,0,0.0
