,Time,Vehicle,Gap,Headway,Schedule,Destination,day,day of the week,stop,stopID
233,5:37:46AM Replaces Trip,4640.0,13:58,15:00,0:28 ahead of 5:38:14AM,West to High Park,2026-03-06,4,Main St at Danforth Ave,7518
234,5:38:14AM (sched) Replaced by Trip,,,15:00,Scheduled at 5:38:14AM,West to High Park,2026-03-06,4,Main St at Danforth Ave,7518
235,6:24:15AM (sched) Added,3300.0,,,Scheduled at 6:24:15AM,Parkside Dr,2026-03-06,4,Main St at Danforth Ave,7518
236,6:32:56AM (sched) Added,7327.0,,8:41,Scheduled at 6:32:56AM,Parkside Dr,2026-03-06,4,Main St at Danforth Ave,7518
237,6:56:08AM (sched) Added,8615.0,,23:12,Scheduled at 6:56:08AM,Grace St,2026-03-06,4,Main St at Danforth Ave,7518
238,6:56:11AM (sched) Added,8734.0,,23:15,Scheduled at 6:56:11AM,Dovercourt Rd,2026-03-06,4,Main St at Danforth Ave,7518
239,7:04:02AM (sched) Added,8706.0,,7:51,Scheduled at 7:04:02AM,Dovercourt Rd,2026-03-06,4,Main St at Danforth Ave,7518
240,7:12:17AM (sched) Added,8702.0,,8:15,Scheduled at 7:12:17AM,Parkside Dr,2026-03-06,4,Main St at Danforth Ave,7518
241,8:27:58AM (sched) Added,8706.0,,,Scheduled at 8:27:58AM,Parkside Dr,2026-03-06,4,Main St at Danforth Ave,7518
242,10:20:30AM (sched) Added,4663.0,,,Scheduled at 10:20:30AM,Lansdowne Ave,2026-03-06,4,Main St at Danforth Ave,7518
243,5:00:12AM (sched) Replaced by Trip,,,,Scheduled at 5:00:12AM,West to High Park,2026-03-07,5,Main St at Danforth Ave,7518
244,5:00:29AM - 5:01:02AM Replaces Trip,4482.0,,20:00,0:17 behind 5:00:12AM,West to High Park,2026-03-07,5,Main St at Danforth Ave,7518
245,5:20:11AM - 5:20:31AM Replaces Trip,4419.0,19:09,18:00,0:01 ahead of 5:20:12AM,West to High Park,2026-03-07,5,Main St at Danforth Ave,7518
246,5:20:12AM (sched) Replaced by Trip,,,20:00,Scheduled at 5:20:12AM,West to High Park,2026-03-07,5,Main St at Danforth Ave,7518
247,5:36:12AM (sched) Replaced by Trip,,,16:00,Scheduled at 5:36:12AM,West to High Park,2026-03-07,5,Main St at Danforth Ave,7518
248,5:37:54AM Replaces Trip,4520.0,17:23,16:00,1:39 behind 5:36:15AM,West to High Park,2026-03-07,5,Main St at Danforth Ave,7518
249,4:39:23AM - 4:39:54AM,4440.0,,22:00,0:09 behind 4:39:14AM,West to High Park,2026-03-09,0,Main St at Danforth Ave,7518
250,5:00:35AM - 5:01:06AM Replaces Trip,4633.0,20:41,22:00,0:39 ahead of 5:01:14AM,West to High Park,2026-03-09,0,Main St at Danforth Ave,7518
251,5:01:14AM (sched) Replaced by Trip,,,22:00,Scheduled at 5:01:14AM,West to High Park,2026-03-09,0,Main St at Danforth Ave,7518
252,5:23:14AM (sched) Replaced by Trip,,,22:00,Scheduled at 5:23:14AM,West to High Park,2026-03-09,0,Main St at Danforth Ave,7518
253,5:23:46AM - 5:24:06AM Replaces Trip,4447.0,22:40,18:30,0:32 behind 5:23:14AM,West to High Park,2026-03-09,0,Main St at Danforth Ave,7518
254,5:38:05AM Replaces Trip,4529.0,13:59,15:00,0:09 ahead of 5:38:14AM,West to High Park,2026-03-09,0,Main St at Danforth Ave,7518
255,5:38:14AM (sched) Replaced by Trip,,,15:00,Scheduled at 5:38:14AM,West to High Park,2026-03-09,0,Main St at Danforth Ave,7518
256,8:22:53AM (sched) Added,,,,Scheduled at 8:22:53AM,Carlton St,2026-03-09,0,Main St at Danforth Ave,7518
257,8:33:01AM (sched) Added,,,10:08,Scheduled at 8:33:01AM,Carlton St,2026-03-09,0,Main St at Danforth Ave,7518
258,8:44:06AM (sched) Added,4517.0,,11:05,Scheduled at 8:44:06AM,Bay St,2026-03-09,0,Main St at Danforth Ave,7518
259,9:20:55AM (sched) Added,,,36:49,Scheduled at 9:20:55AM,Carlton St,2026-03-09,0,Main St at Danforth Ave,7518
260,9:34:19AM (sched) Added,4450.0,,13:24,Scheduled at 9:34:19AM,Bay St,2026-03-09,0,Main St at Danforth Ave,7518
261,10:10:45AM (sched) Added,,,36:26,Scheduled at 10:10:45AM,Carlton St,2026-03-09,0,Main St at Danforth Ave,7518
262,10:18:51AM (sched) Added,,,8:06,Scheduled at 10:18:51AM,Carlton St,2026-03-09,0,Main St at Danforth Ave,7518
263,10:30:32AM (sched) Added,,,11:41,Scheduled at 10:30:32AM,Carlton St,2026-03-09,0,Main St at Danforth Ave,7518
264,10:42:11AM (sched) Added,,,11:39,Scheduled at 10:42:11AM,Carlton St,2026-03-09,0,Main St at Danforth Ave,7518
265,10:45:35AM (sched) Added,4511.0,,3:24,Scheduled at 10:45:35AM,Bay St,2026-03-09,0,Main St at Danforth Ave,7518
266,4:39:14AM (sched) Replaced by Trip,,,,Scheduled at 4:39:14AM,West to High Park,2026-03-10,1,Main St at Danforth Ave,7518
267,4:40:39AM Replaces Trip,4454.0,,22:00,1:25 behind 4:39:14AM,West to High Park,2026-03-10,1,Main St at Danforth Ave,7518
268,5:01:14AM (sched) Replaced by Trip,,,22:00,Scheduled at 5:01:14AM,West to High Park,2026-03-10,1,Main St at Danforth Ave,7518
269,5:01:51AM - 5:02:19AM Replaces Trip,4508.0,21:12,22:00,0:37 behind 5:01:14AM,West to High Park,2026-03-10,1,Main St at Danforth Ave,7518
270,5:21:39AM - 5:22:11AM Replaces Trip,4487.0,19:20,18:30,1:35 ahead of 5:23:14AM,West to High Park,2026-03-10,1,Main St at Danforth Ave,7518
271,5:23:14AM (sched) Replaced by Trip,,,22:00,Scheduled at 5:23:14AM,West to High Park,2026-03-10,1,Main St at Danforth Ave,7518
272,5:38:14AM (sched) Replaced by Trip,,,15:00,Scheduled at 5:38:14AM,West to High Park,2026-03-10,1,Main St at Danforth Ave,7518
273,5:38:43AM - 5:39:20AM Replaces Trip,4407.0,16:32,15:00,0:29 behind 5:38:14AM,West to High Park,2026-03-10,1,Main St at Danforth Ave,7518
274,4:38:44AM - 4:39:16AM Replaces Trip,4482.0,,22:00,0:30 ahead of 4:39:14AM,West to High Park,2026-03-11,2,Main St at Danforth Ave,7518
275,4:39:14AM (sched) Replaced by Trip,,,,Scheduled at 4:39:14AM,West to High Park,2026-03-11,2,Main St at Danforth Ave,7518
276,5:00:59AM - 5:01:24AM Replaces Trip,4472.0,21:43,22:00,0:15 ahead of 5:01:14AM,West to High Park,2026-03-11,2,Main St at Danforth Ave,7518
277,5:01:14AM (sched) Replaced by Trip,,,22:00,Scheduled at 5:01:14AM,West to High Park,2026-03-11,2,Main St at Danforth Ave,7518
278,5:23:14AM (sched) Replaced by Trip,,,22:00,Scheduled at 5:23:14AM,West to High Park,2026-03-11,2,Main St at Danforth Ave,7518
279,5:23:42AM Replaces Trip,4611.0,22:18,18:30,0:28 behind 5:23:14AM,West to High Park,2026-03-11,2,Main St at Danforth Ave,7518
280,5:38:14AM (sched) Replaced by Trip,,,15:00,Scheduled at 5:38:14AM,West to High Park,2026-03-11,2,Main St at Danforth Ave,7518
281,5:39:16AM Replaces Trip,4479.0,15:34,15:00,1:02 behind 5:38:14AM,West to High Park,2026-03-11,2,Main St at Danforth Ave,7518
